#timebase=2000000000(ps)
,#voltbase=2000000(mv/100)
#size=20064
5.00E-06,-0.800
1.00E-05,-0.800
1.50E-05,-0.480
2.00E-05,0.640
2.50E-05,-0.160
3.00E-05,-0.880
3.50E-05,-0.480
4.00E-05,0.640
4.50E-05,-0.160
5.00E-05,-0.800
5.50E-05,-0.400
6.00E-05,0.720
6.50E-05,-0.160
7.00E-05,-0.800
7.50E-05,-0.480
8.00E-05,0.720
8.50E-05,-0.080
9.00E-05,-0.720
9.50E-05,-0.480
1.00E-04,0.640
1.05E-04,-0.080
1.10E-04,-0.720
1.15E-04,-0.480
1.20E-04,0.640
1.25E-04,-0.080
1.30E-04,-0.800
1.35E-04,-0.480
1.40E-04,0.640
1.45E-04,-0.160
1.50E-04,-0.880
1.55E-04,-0.480
1.60E-04,0.720
1.65E-04,-0.160
1.70E-04,-0.720
1.75E-04,-0.480
1.80E-04,0.640
1.85E-04,-0.080
1.90E-04,-0.880
1.95E-04,-0.400
2.00E-04,0.640
2.05E-04,0.480
2.10E-04,-0.720
2.15E-04,-0.800
2.20E-04,0.240
2.25E-04,0.880
2.30E-04,0.400
2.35E-04,-0.640
2.40E-04,-0.720
2.45E-04,0.240
2.50E-04,0.880
2.55E-04,0.320
2.60E-04,-0.640
2.65E-04,-0.800
2.70E-04,0.240
2.75E-04,0.960
2.80E-04,0.400
2.85E-04,-0.640
2.90E-04,-0.720
2.95E-04,0.320
3.00E-04,0.880
3.05E-04,0.240
3.10E-04,-0.720
3.15E-04,-0.800
3.20E-04,0.160
3.25E-04,0.960
3.30E-04,0.240
3.35E-04,-0.720
3.40E-04,-0.720
3.45E-04,0.240
3.50E-04,0.800
3.55E-04,0.320
3.60E-04,-0.720
3.65E-04,-0.640
3.70E-04,0.240
3.75E-04,0.800
3.80E-04,0.320
3.85E-04,-0.720
3.90E-04,-0.640
3.95E-04,0.320
4.00E-04,0.800
4.05E-04,0.320
4.10E-04,-0.640
4.15E-04,-0.640
4.20E-04,0.240
4.25E-04,0.800
4.30E-04,0.240
4.35E-04,-0.720
4.40E-04,-0.560
4.45E-04,0.320
4.50E-04,0.800
4.55E-04,0.240
4.60E-04,-0.800
4.65E-04,-0.640
4.70E-04,0.240
4.75E-04,0.720
4.80E-04,0.240
4.85E-04,-0.720
4.90E-04,-0.640
4.95E-04,0.320
5.00E-04,0.720
5.05E-04,0.240
5.10E-04,-0.640
5.15E-04,-0.560
5.20E-04,0.240
5.25E-04,0.800
5.30E-04,0.160
5.35E-04,-0.640
5.40E-04,-0.640
5.45E-04,0.320
5.50E-04,0.800
5.55E-04,0.240
5.60E-04,-0.640
5.65E-04,-0.560
5.70E-04,0.240
5.75E-04,0.640
5.80E-04,0.240
5.85E-04,-0.480
5.90E-04,-0.560
5.95E-04,0.320
6.00E-04,0.640
6.05E-04,0.160
6.10E-04,-0.480
6.15E-04,-0.480
6.20E-04,0.080
6.25E-04,0.560
6.30E-04,0.320
6.35E-04,-0.400
6.40E-04,-0.560
6.45E-04,0.000
6.50E-04,0.560
6.55E-04,0.320
6.60E-04,-0.320
6.65E-04,-0.480
6.70E-04,0.000
6.75E-04,0.560
6.80E-04,0.400
6.85E-04,-0.320
6.90E-04,-0.400
6.95E-04,-0.080
7.00E-04,0.400
7.05E-04,0.240
7.10E-04,-0.080
7.15E-04,-0.240
7.20E-04,-0.080
7.25E-04,0.240
7.30E-04,0.160
7.35E-04,-0.080
7.40E-04,-0.320
7.45E-04,0.000
7.50E-04,0.160
7.55E-04,0.160
7.60E-04,-0.160
7.65E-04,-0.080
7.70E-04,0.000
7.75E-04,0.080
7.80E-04,0.000
7.85E-04,-0.080
7.90E-04,-0.080
7.95E-04,0.160
8.00E-04,0.160
8.05E-04,0.000
8.10E-04,-0.080
8.15E-04,0.000
8.20E-04,0.240
8.25E-04,0.240
8.30E-04,-0.160
8.35E-04,-0.240
8.40E-04,0.000
8.45E-04,0.160
8.50E-04,0.160
8.55E-04,-0.080
8.60E-04,-0.240
8.65E-04,0.000
8.70E-04,0.400
8.75E-04,0.320
8.80E-04,-0.240
8.85E-04,-0.400
8.90E-04,0.000
8.95E-04,0.400
9.00E-04,0.240
9.05E-04,-0.160
9.10E-04,-0.400
9.15E-04,-0.080
9.20E-04,0.320
9.25E-04,0.320
9.30E-04,-0.320
9.35E-04,-0.480
9.40E-04,0.000
9.45E-04,0.480
9.50E-04,0.400
9.55E-04,-0.240
9.60E-04,-0.480
9.65E-04,-0.160
9.70E-04,0.400
9.75E-04,0.320
9.80E-04,-0.160
9.85E-04,-0.560
9.90E-04,-0.240
9.95E-04,0.320
1.00E-03,0.400
1.01E-03,-0.080
1.01E-03,-0.640
1.02E-03,-0.240
1.02E-03,0.320
1.03E-03,0.640
1.03E-03,0.000
1.03E-03,-0.640
1.04E-03,-0.400
1.04E-03,0.400
1.05E-03,0.560
1.05E-03,0.000
1.06E-03,-0.640
1.06E-03,-0.320
1.07E-03,0.400
1.08E-03,0.640
1.08E-03,0.000
1.09E-03,-0.720
1.09E-03,-0.400
1.10E-03,0.400
1.10E-03,0.720
1.11E-03,0.240
1.11E-03,-0.640
1.12E-03,-0.560
1.12E-03,0.480
1.12E-03,0.720
1.13E-03,0.160
1.13E-03,-0.720
1.14E-03,-0.640
1.14E-03,0.320
1.15E-03,0.800
1.15E-03,0.160
1.16E-03,-0.800
1.17E-03,-0.640
1.17E-03,0.320
1.18E-03,0.800
1.18E-03,0.240
1.19E-03,-0.720
1.19E-03,-0.640
1.20E-03,0.400
1.20E-03,0.720
1.20E-03,0.240
1.21E-03,-0.880
1.21E-03,-0.640
1.22E-03,0.320
1.22E-03,0.800
1.23E-03,0.160
1.23E-03,-0.800
1.24E-03,-0.640
1.25E-03,0.400
1.25E-03,0.800
1.26E-03,0.160
1.26E-03,-0.720
1.27E-03,-0.640
1.27E-03,0.480
1.28E-03,0.880
1.28E-03,0.160
1.28E-03,-0.800
1.29E-03,-0.640
1.29E-03,0.400
1.30E-03,0.800
1.30E-03,0.160
1.31E-03,-0.800
1.31E-03,-0.720
1.32E-03,0.400
1.33E-03,0.800
1.33E-03,0.080
1.34E-03,-0.800
1.34E-03,-0.560
1.35E-03,0.320
1.35E-03,0.880
1.36E-03,0.240
1.36E-03,-0.720
1.36E-03,-0.560
1.37E-03,0.480
1.37E-03,0.800
1.38E-03,0.080
1.38E-03,-0.720
1.39E-03,-0.640
1.39E-03,0.400
1.40E-03,0.800
1.40E-03,0.000
1.41E-03,-0.800
1.42E-03,-0.560
1.42E-03,0.560
1.43E-03,0.800
1.43E-03,0.080
1.44E-03,-0.800
1.44E-03,-0.560
1.45E-03,0.400
1.45E-03,0.720
1.45E-03,0.000
1.46E-03,-0.720
1.46E-03,-0.480
1.47E-03,0.400
1.47E-03,0.720
1.48E-03,0.000
1.48E-03,-0.720
1.49E-03,-0.400
1.50E-03,0.400
1.50E-03,0.720
1.51E-03,-0.080
1.51E-03,-0.640
1.52E-03,-0.400
1.52E-03,0.480
1.53E-03,0.720
1.53E-03,0.000
1.53E-03,-0.720
1.54E-03,-0.480
1.54E-03,0.480
1.55E-03,0.720
1.55E-03,0.080
1.56E-03,-0.560
1.56E-03,-0.400
1.57E-03,0.400
1.58E-03,0.640
1.58E-03,0.000
1.59E-03,-0.720
1.59E-03,-0.480
1.60E-03,0.320
1.60E-03,0.640
1.61E-03,0.160
1.61E-03,-0.560
1.61E-03,-0.400
1.62E-03,0.160
1.62E-03,0.720
1.63E-03,0.240
1.63E-03,-0.480
1.64E-03,-0.480
1.64E-03,0.160
1.65E-03,0.560
1.66E-03,0.240
1.66E-03,-0.320
1.67E-03,-0.480
1.67E-03,0.000
1.68E-03,0.400
1.68E-03,0.240
1.69E-03,-0.240
1.69E-03,-0.400
1.69E-03,0.080
1.70E-03,0.400
1.70E-03,0.320
1.71E-03,-0.240
1.71E-03,-0.320
1.72E-03,0.000
1.72E-03,0.240
1.73E-03,0.160
1.73E-03,-0.080
1.74E-03,-0.320
1.75E-03,0.080
1.75E-03,0.240
1.76E-03,0.080
1.76E-03,-0.080
1.77E-03,-0.160
1.77E-03,0.000
1.78E-03,0.240
1.78E-03,0.000
1.78E-03,-0.080
1.79E-03,-0.080
1.79E-03,0.000
1.80E-03,0.160
1.80E-03,0.000
1.81E-03,-0.160
1.81E-03,0.080
1.82E-03,0.240
1.83E-03,0.080
1.83E-03,-0.080
1.84E-03,-0.160
1.84E-03,0.000
1.85E-03,0.160
1.85E-03,0.080
1.86E-03,-0.160
1.86E-03,-0.240
1.86E-03,0.080
1.87E-03,0.240
1.87E-03,0.160
1.88E-03,-0.240
1.88E-03,-0.320
1.89E-03,0.080
1.89E-03,0.400
1.90E-03,0.160
1.91E-03,-0.240
1.91E-03,-0.320
1.92E-03,0.080
1.92E-03,0.400
1.93E-03,0.320
1.93E-03,-0.320
1.94E-03,-0.400
1.94E-03,0.000
1.94E-03,0.480
1.95E-03,0.320
1.96E-03,-0.240
1.96E-03,-0.480
1.97E-03,0.080
1.97E-03,0.400
1.98E-03,0.400
1.98E-03,-0.320
1.98E-03,-0.400
1.99E-03,0.000
1.99E-03,0.480
2.00E-03,0.480
2.00E-03,-0.160
2.01E-03,-0.640
2.01E-03,-0.240
2.02E-03,0.560
2.02E-03,0.480
2.03E-03,-0.160
2.03E-03,-0.560
2.04E-03,-0.240
2.04E-03,0.400
2.05E-03,0.560
2.05E-03,-0.160
2.06E-03,-0.640
2.06E-03,-0.320
2.07E-03,0.560
2.08E-03,0.720
2.08E-03,-0.160
2.09E-03,-0.640
2.09E-03,-0.320
2.10E-03,0.400
2.10E-03,0.720
2.11E-03,0.000
2.11E-03,-0.640
2.12E-03,-0.320
2.12E-03,0.560
2.13E-03,0.720
2.13E-03,-0.080
2.14E-03,-0.800
2.14E-03,-0.480
2.15E-03,0.480
2.15E-03,0.720
2.15E-03,-0.080
2.16E-03,-0.800
2.16E-03,-0.400
2.17E-03,0.480
2.17E-03,0.720
2.18E-03,0.000
2.18E-03,-0.720
2.19E-03,-0.480
2.19E-03,0.480
2.20E-03,0.800
2.20E-03,-0.080
2.21E-03,-0.800
2.21E-03,-0.560
2.22E-03,0.560
2.22E-03,0.880
2.23E-03,0.000
2.24E-03,-0.880
2.24E-03,-0.560
2.25E-03,0.480
2.25E-03,0.800
2.26E-03,0.000
2.26E-03,-0.880
2.27E-03,-0.480
2.27E-03,0.560
2.28E-03,0.800
2.28E-03,0.000
2.29E-03,-0.800
2.29E-03,-0.480
2.30E-03,0.560
2.30E-03,0.880
2.31E-03,0.000
2.31E-03,-0.800
2.31E-03,-0.480
2.32E-03,0.560
2.32E-03,0.720
2.33E-03,-0.080
2.33E-03,-0.880
2.34E-03,-0.400
2.34E-03,0.640
2.35E-03,0.800
2.35E-03,-0.080
2.36E-03,-0.800
2.36E-03,-0.480
2.37E-03,0.560
2.37E-03,0.720
2.38E-03,-0.160
2.38E-03,-0.800
2.39E-03,-0.400
2.39E-03,0.640
2.40E-03,0.800
2.41E-03,-0.160
2.41E-03,-0.800
2.42E-03,-0.400
2.42E-03,0.560
2.43E-03,0.720
2.43E-03,-0.240
2.44E-03,-0.800
2.44E-03,-0.400
2.45E-03,0.560
2.45E-03,0.800
2.46E-03,-0.160
2.46E-03,-0.880
2.47E-03,-0.240
2.47E-03,0.640
2.48E-03,0.640
2.48E-03,-0.160
2.48E-03,-0.880
2.49E-03,-0.240
2.49E-03,0.560
2.50E-03,0.720
2.50E-03,-0.160
2.51E-03,-0.720
2.51E-03,-0.320
2.52E-03,0.560
2.52E-03,0.720
2.53E-03,-0.080
2.53E-03,-0.800
2.54E-03,-0.240
2.54E-03,0.400
2.55E-03,0.640
2.55E-03,-0.080
2.56E-03,-0.720
2.57E-03,-0.320
2.57E-03,0.560
2.58E-03,0.720
2.58E-03,-0.080
2.59E-03,-0.640
2.59E-03,-0.320
2.60E-03,0.400
2.60E-03,0.640
2.61E-03,0.000
2.61E-03,-0.640
2.62E-03,-0.320
2.62E-03,0.480
2.63E-03,0.640
2.63E-03,0.080
2.64E-03,-0.480
2.64E-03,-0.400
2.65E-03,0.320
2.65E-03,0.560
2.65E-03,0.080
2.66E-03,-0.400
2.66E-03,-0.320
2.67E-03,0.240
2.67E-03,0.560
2.68E-03,0.000
2.68E-03,-0.320
2.69E-03,-0.320
2.69E-03,0.160
2.70E-03,0.400
2.70E-03,0.000
2.71E-03,-0.240
2.71E-03,-0.240
2.72E-03,0.000
2.72E-03,0.320
2.73E-03,0.080
2.74E-03,-0.160
2.74E-03,-0.160
2.75E-03,0.000
2.75E-03,0.240
2.76E-03,0.000
2.76E-03,-0.240
2.77E-03,-0.080
2.77E-03,0.080
2.78E-03,0.160
2.78E-03,0.000
2.79E-03,-0.160
2.79E-03,0.000
2.80E-03,0.160
2.80E-03,0.080
2.81E-03,-0.080
2.81E-03,-0.160
2.81E-03,0.080
2.82E-03,0.160
2.82E-03,0.080
2.83E-03,-0.160
2.83E-03,-0.080
2.84E-03,0.160
2.84E-03,0.320
2.85E-03,0.000
2.85E-03,-0.240
2.86E-03,-0.080
2.86E-03,0.160
2.87E-03,0.320
2.87E-03,0.000
2.88E-03,-0.320
2.88E-03,-0.160
2.89E-03,0.240
2.90E-03,0.480
2.90E-03,0.000
2.91E-03,-0.320
2.91E-03,-0.320
2.92E-03,0.240
2.92E-03,0.320
2.93E-03,0.160
2.93E-03,-0.240
2.94E-03,-0.400
2.94E-03,0.160
2.95E-03,0.400
2.95E-03,0.160
2.96E-03,-0.400
2.96E-03,-0.320
2.97E-03,0.080
2.97E-03,0.560
2.98E-03,0.240
2.98E-03,-0.320
2.98E-03,-0.480
2.99E-03,0.080
2.99E-03,0.560
3.00E-03,0.400
3.00E-03,-0.400
3.01E-03,-0.560
3.01E-03,0.000
3.02E-03,0.560
3.02E-03,0.400
3.03E-03,-0.320
3.03E-03,-0.640
3.04E-03,-0.080
3.04E-03,0.560
3.05E-03,0.400
3.05E-03,-0.320
3.06E-03,-0.640
3.07E-03,-0.160
3.07E-03,0.640
3.08E-03,0.560
3.08E-03,-0.240
3.09E-03,-0.640
3.09E-03,-0.240
3.10E-03,0.480
3.10E-03,0.560
3.11E-03,-0.240
3.11E-03,-0.720
3.12E-03,-0.240
3.12E-03,0.720
3.13E-03,0.640
3.13E-03,-0.160
3.14E-03,-0.800
3.14E-03,-0.320
3.14E-03,0.640
3.15E-03,0.720
3.15E-03,-0.160
3.16E-03,-0.800
3.16E-03,-0.320
3.17E-03,0.720
3.17E-03,0.720
3.18E-03,-0.240
3.18E-03,-0.800
3.19E-03,-0.240
3.19E-03,0.640
3.20E-03,0.720
3.20E-03,-0.160
3.21E-03,-0.880
3.21E-03,-0.320
3.22E-03,0.640
3.23E-03,0.800
3.23E-03,-0.240
3.24E-03,-0.960
3.24E-03,-0.320
3.25E-03,0.800
3.25E-03,0.720
3.26E-03,-0.160
3.26E-03,-0.880
3.27E-03,-0.320
3.27E-03,0.720
3.28E-03,0.720
3.28E-03,-0.320
3.29E-03,-0.880
3.29E-03,-0.320
3.30E-03,0.720
3.30E-03,0.720
3.31E-03,-0.320
3.31E-03,-0.960
3.31E-03,-0.320
3.32E-03,0.800
3.32E-03,0.720
3.33E-03,-0.240
3.33E-03,-0.880
3.34E-03,-0.320
3.34E-03,0.720
3.35E-03,0.720
3.35E-03,-0.240
3.36E-03,-0.880
3.36E-03,-0.320
3.37E-03,0.800
3.37E-03,0.720
3.38E-03,-0.320
3.38E-03,-0.800
3.39E-03,-0.160
3.40E-03,0.720
3.40E-03,0.720
3.41E-03,-0.320
3.41E-03,-0.880
3.42E-03,-0.240
3.42E-03,0.800
3.43E-03,0.640
3.43E-03,-0.240
3.44E-03,-0.800
3.44E-03,-0.080
3.45E-03,0.640
3.45E-03,0.560
3.46E-03,-0.320
3.46E-03,-0.800
3.47E-03,-0.080
3.47E-03,0.720
3.47E-03,0.720
3.48E-03,-0.400
3.48E-03,-0.880
3.49E-03,-0.080
3.49E-03,0.640
3.50E-03,0.640
3.50E-03,-0.320
3.51E-03,-0.800
3.51E-03,-0.080
3.52E-03,0.640
3.52E-03,0.560
3.53E-03,-0.320
3.53E-03,-0.640
3.54E-03,-0.080
3.54E-03,0.640
3.55E-03,0.640
3.56E-03,-0.320
3.56E-03,-0.720
3.57E-03,-0.240
3.57E-03,0.640
3.58E-03,0.560
3.58E-03,-0.160
3.59E-03,-0.640
3.59E-03,-0.240
3.60E-03,0.400
3.60E-03,0.640
3.61E-03,-0.240
3.61E-03,-0.560
3.62E-03,-0.160
3.62E-03,0.480
3.63E-03,0.480
3.63E-03,-0.160
3.64E-03,-0.480
3.64E-03,-0.240
3.64E-03,0.320
3.65E-03,0.480
3.65E-03,-0.080
3.66E-03,-0.480
3.66E-03,-0.240
3.67E-03,0.240
3.67E-03,0.400
3.68E-03,0.000
3.68E-03,-0.320
3.69E-03,-0.240
3.69E-03,0.160
3.70E-03,0.400
3.70E-03,0.000
3.71E-03,-0.240
3.71E-03,-0.160
3.72E-03,0.160
3.73E-03,0.320
3.73E-03,-0.080
3.74E-03,-0.320
3.74E-03,-0.160
3.75E-03,0.240
3.75E-03,0.160
3.76E-03,0.000
3.76E-03,-0.160
3.77E-03,-0.080
3.77E-03,0.160
3.78E-03,0.160
3.78E-03,0.000
3.79E-03,-0.080
3.79E-03,0.000
3.80E-03,0.160
3.80E-03,0.080
3.80E-03,-0.080
3.81E-03,-0.160
3.81E-03,0.080
3.82E-03,0.240
3.82E-03,-0.080
3.83E-03,-0.240
3.83E-03,-0.160
3.84E-03,0.240
3.84E-03,0.160
3.85E-03,0.000
3.85E-03,-0.320
3.86E-03,-0.080
3.86E-03,0.240
3.87E-03,0.240
3.87E-03,0.000
3.88E-03,-0.320
3.88E-03,-0.160
3.89E-03,0.160
3.90E-03,0.320
3.90E-03,0.000
3.91E-03,-0.320
3.91E-03,-0.240
3.92E-03,0.320
3.92E-03,0.480
3.92E-03,0.080
3.93E-03,-0.400
3.94E-03,-0.240
3.94E-03,0.240
3.94E-03,0.400
3.95E-03,0.000
3.96E-03,-0.480
3.96E-03,-0.320
3.96E-03,0.240
3.97E-03,0.560
3.98E-03,0.160
3.98E-03,-0.480
3.98E-03,-0.400
3.99E-03,0.240
4.00E-03,0.560
4.00E-03,0.160
4.00E-03,-0.480
4.01E-03,-0.400
4.02E-03,0.080
4.02E-03,0.560
4.02E-03,0.240
4.03E-03,-0.400
4.04E-03,-0.480
4.04E-03,0.000
4.04E-03,0.640
4.05E-03,0.320
4.05E-03,-0.400
4.06E-03,-0.560
4.07E-03,0.080
4.07E-03,0.640
4.07E-03,0.320
4.08E-03,-0.320
4.09E-03,-0.640
4.09E-03,0.000
4.09E-03,0.720
4.10E-03,0.400
4.11E-03,-0.320
4.11E-03,-0.720
4.11E-03,-0.080
4.12E-03,0.720
4.13E-03,0.560
4.13E-03,-0.240
4.13E-03,-0.720
4.14E-03,-0.160
4.15E-03,0.720
4.15E-03,0.640
4.15E-03,-0.400
4.16E-03,-0.800
4.17E-03,-0.160
4.17E-03,0.720
4.17E-03,0.480
4.18E-03,-0.400
4.19E-03,-0.880
4.19E-03,-0.160
4.19E-03,0.800
4.20E-03,0.640
4.21E-03,-0.320
4.21E-03,-0.720
4.21E-03,-0.160
4.22E-03,0.720
4.22E-03,0.640
4.23E-03,-0.480
4.24E-03,-0.800
4.24E-03,-0.080
4.24E-03,0.720
4.25E-03,0.720
4.26E-03,-0.320
4.26E-03,-0.800
4.26E-03,-0.160
4.27E-03,0.720
4.28E-03,0.640
4.28E-03,-0.320
4.28E-03,-0.880
4.29E-03,-0.080
4.30E-03,0.800
4.30E-03,0.560
4.30E-03,-0.480
4.31E-03,-0.800
4.32E-03,-0.160
4.32E-03,0.800
4.32E-03,0.640
4.33E-03,-0.480
4.34E-03,-0.880
4.34E-03,-0.080
4.34E-03,0.800
4.35E-03,0.640
4.36E-03,-0.480
4.36E-03,-0.800
4.36E-03,0.000
4.37E-03,0.800
4.38E-03,0.640
4.38E-03,-0.480
4.39E-03,-0.800
4.39E-03,0.000
4.39E-03,0.880
4.40E-03,0.640
4.41E-03,-0.480
4.41E-03,-0.800
4.41E-03,-0.080
4.42E-03,0.720
4.43E-03,0.480
4.43E-03,-0.480
4.43E-03,-0.800
4.44E-03,0.000
4.45E-03,0.720
4.45E-03,0.560
4.45E-03,-0.480
4.46E-03,-0.880
4.47E-03,0.080
4.47E-03,0.720
4.47E-03,0.400
4.48E-03,-0.480
4.49E-03,-0.720
4.49E-03,0.000
4.49E-03,0.720
4.50E-03,0.480
4.51E-03,-0.400
4.51E-03,-0.720
4.51E-03,0.000
4.52E-03,0.720
4.53E-03,0.480
4.53E-03,-0.400
4.53E-03,-0.800
4.54E-03,0.000
4.55E-03,0.720
4.55E-03,0.480
4.56E-03,-0.320
4.56E-03,-0.720
4.56E-03,0.080
4.57E-03,0.720
4.58E-03,0.320
4.58E-03,-0.400
4.58E-03,-0.640
4.59E-03,-0.080
4.60E-03,0.640
4.60E-03,0.480
4.60E-03,-0.320
4.61E-03,-0.640
4.62E-03,-0.160
4.62E-03,0.560
4.62E-03,0.480
4.63E-03,-0.320
4.64E-03,-0.480
4.64E-03,-0.080
4.64E-03,0.480
4.65E-03,0.400
4.66E-03,-0.240
4.66E-03,-0.400
4.66E-03,-0.240
4.67E-03,0.400
4.68E-03,0.400
4.68E-03,-0.160
4.68E-03,-0.400
4.69E-03,-0.080
4.70E-03,0.320
4.70E-03,0.480
4.70E-03,-0.080
4.71E-03,-0.320
4.71E-03,-0.080
4.72E-03,0.160
4.73E-03,0.240
4.73E-03,0.000
4.73E-03,-0.240
4.74E-03,-0.080
4.75E-03,0.240
4.75E-03,0.240
4.75E-03,0.000
4.76E-03,-0.160
4.77E-03,0.000
4.77E-03,0.160
4.77E-03,0.080
4.78E-03,-0.080
4.79E-03,-0.080
4.79E-03,0.000
4.79E-03,0.160
4.80E-03,0.080
4.81E-03,-0.160
4.81E-03,-0.080
4.81E-03,0.240
4.82E-03,0.160
4.83E-03,0.000
4.83E-03,-0.160
4.83E-03,-0.080
4.84E-03,0.320
4.85E-03,0.160
4.85E-03,-0.160
4.85E-03,-0.240
4.86E-03,-0.160
4.87E-03,0.240
4.87E-03,0.240
4.87E-03,-0.080
4.88E-03,-0.240
4.88E-03,-0.160
4.89E-03,0.320
4.90E-03,0.240
4.90E-03,-0.080
4.90E-03,-0.400
4.91E-03,-0.160
4.92E-03,0.240
4.92E-03,0.320
4.92E-03,-0.080
4.93E-03,-0.480
4.94E-03,-0.240
4.94E-03,0.320
4.94E-03,0.320
4.95E-03,0.000
4.96E-03,-0.560
4.96E-03,-0.320
4.96E-03,0.320
4.97E-03,0.480
4.98E-03,0.000
4.98E-03,-0.480
4.98E-03,-0.400
4.99E-03,0.320
5.00E-03,0.640
5.00E-03,0.160
5.00E-03,-0.480
5.01E-03,-0.480
5.02E-03,0.240
5.02E-03,0.560
5.02E-03,0.160
5.03E-03,-0.480
5.04E-03,-0.400
5.04E-03,0.160
5.05E-03,0.720
5.05E-03,0.240
5.05E-03,-0.480
5.06E-03,-0.640
5.07E-03,0.240
5.07E-03,0.640
5.07E-03,0.400
5.08E-03,-0.480
5.09E-03,-0.640
5.09E-03,0.000
5.09E-03,0.720
5.10E-03,0.480
5.11E-03,-0.560
5.11E-03,-0.720
5.11E-03,0.080
5.12E-03,0.800
5.13E-03,0.400
5.13E-03,-0.560
5.13E-03,-0.720
5.14E-03,0.000
5.15E-03,0.720
5.15E-03,0.320
5.15E-03,-0.480
5.16E-03,-0.800
5.17E-03,0.080
5.17E-03,0.720
5.17E-03,0.400
5.18E-03,-0.480
5.19E-03,-0.720
5.19E-03,0.000
5.19E-03,0.800
5.20E-03,0.560
5.21E-03,-0.560
5.21E-03,-0.880
5.22E-03,0.080
5.22E-03,0.880
5.22E-03,0.560
5.23E-03,-0.560
5.24E-03,-0.880
5.24E-03,0.080
5.24E-03,0.800
5.25E-03,0.400
